ST	abcZ	bglA	cat	dapE	dat	ldh	lhkA
732	5	8	5	7	77	2	1
733	7	5	10	21	1	63	1
734	3	1	1	1	78	1	3
735	8	6	8	131	6	37	1
736	11	96	4	16	2	1	5
737	34	1	57	3	2	1	2
738	7	7	10	4	5	267	1
739	5	5	10	6	5	266	48
740	5	10	17	20	1	265	1
741	7	6	8	8	6	264	1
742	5	6	2	9	5	233	1
743	5	6	2	9	5	268	1
744	5	5	65	21	39	84	6
745	2	1	11	3	3	30	7
746	3	1	1	1	3	59	3
747	5	7	3	5	1	270	6
748	7	14	10	19	1	269	1
749	104	8	8	8	6	37	1
750	5	10	8	21	6	271	1
751	6	5	6	4	1	274	1
752	5	8	5	7	6	92	1
753	6	5	6	4	1	254	1
754	5	10	8	21	6	272	1
755	7	6	8	8	6	273	1
756	7	6	15	18	12	275	1
757	105	6	15	18	12	6	1
758	5	6	2	9	5	276	1
759	17	13	3	132	5	7	1
760	9	10	15	6	8	37	1
761	3	1	1	1	3	1	89
762	3	1	1	1	3	43	3
763	6	37	6	133	1	4	1
764	6	5	111	4	1	4	1
765	4	4	4	3	6	1	9
766	2	6	2	9	5	3	1
767	12	5	6	4	1	4	1
768	7	97	16	116	6	96	1
769	19	17	22	25	15	166	12
770	7	10	8	8	6	37	1
771	5	13	3	5	1	8	6
772	5	7	3	6	5	96	1
773	11	9	12	14	3	94	5
774	5	3	3	5	1	8	6
775	7	15	15	78	6	166	9
776	7	98	8	8	6	37	1
777	7	99	10	4	5	24	1
778	4	4	4	3	79	1	5
779	5	6	2	6	1	2	1
780	1	2	12	3	2	5	7
781	1	1	1	3	2	1	5
782	1	2	1	3	2	1	5
783	1	2	12	3	3	5	3
784	2	1	11	38	3	1	3
785	5	5	8	7	5	7	1
786	5	5	17	7	12	26	1
787	5	7	8	7	1	26	6
788	5	8	5	21	6	2	1
789	5	15	6	21	40	4	1
790	7	6	8	4	5	26	1
791	7	6	10	21	1	2	1
792	7	6	10	21	1	4	1
793	7	6	17	6	12	2	6
794	7	10	17	20	1	7	1
795	7	10	18	6	5	7	1
796	7	14	17	6	1	27	1
797	7	49	8	131	6	2	1
798	7	49	17	21	1	96	6
799	11	9	48	71	3	1	4
800	41	30	43	54	70	111	28
801	52	1	4	1	3	1	4
802	7	13	19	134	1	7	1
803	7	10	112	7	5	2	1
804	4	4	4	3	5	1	5
805	4	4	4	3	1	1	1
806	7	10	16	7	5	1	1
807	106	1	1	1	3	1	3
808	11	1	4	3	3	1	5
809	1	1	113	11	2	1	5
810	107	4	4	3	2	1	5
811	108	1	11	11	2	1	5
812	3	9	9	3	3	277	5
813	3	9	9	3	3	1	90
814	1	1	11	11	80	1	5
815	1	2	9	1	2	284	3
816	1	2	12	3	83	5	3
817	1	2	116	1	2	5	3
818	2	1	9	140	3	5	5
819	2	1	11	3	3	294	7
820	2	1	120	3	3	1	7
821	3	1	1	1	3	282	3
822	3	1	1	1	3	281	3
823	3	9	9	3	85	1	5
824	3	102	12	70	2	1	5
825	3	114	1	1	3	1	3
826	5	6	8	151	6	7	34
827	5	6	114	9	5	3	1
828	5	10	8	143	1	26	1
829	5	47	2	161	1	6	1
830	5	111	5	7	6	2	1
831	6	5	2	4	13	302	6
832	6	5	6	4	1	279	1
833	7	6	8	8	84	37	1
834	7	6	10	137	6	6	1
835	7	6	10	153	1	2	1
836	7	10	16	7	82	2	1
837	7	14	10	135	1	8	1
838	7	47	10	139	1	26	1
839	7	100	10	72	1	14	6
840	7	103	8	8	1	3	92
841	7	104	10	21	1	2	1
842	7	106	8	147	1	288	6
843	7	106	122	149	1	290	6
844	8	6	8	6	1	37	91
845	11	3	12	141	3	94	2
846	12	1	4	14	94	39	4
847	12	1	133	14	3	39	4
848	12	12	12	154	3	1	4
849	15	10	18	18	1	280	1
850	17	13	3	136	5	7	1
851	41	33	125	54	70	246	28
852	52	1	126	71	2	1	5
853	58	107	121	148	27	289	44
854	71	118	132	158	89	300	100
855	76	30	128	156	92	297	63
856	76	68	119	146	88	287	56
857	92	115	127	155	91	296	97
858	92	117	130	157	93	299	99
859	92	117	134	159	96	301	83
860	109	4	4	3	2	1	5
861	110	2	12	3	83	5	3
862	111	15	15	8	6	14	9
863	112	101	115	138	36	283	72
864	113	10	131	68	13	2	1
865	113	47	16	68	13	3	1
866	114	32	117	142	41	285	93
867	115	1	9	14	2	286	5
868	116	105	118	144	86	111	28
869	117	32	35	145	87	285	94
870	118	71	74	48	89	285	50
871	119	11	21	27	25	34	13
872	121	108	59	68	13	7	1
873	122	109	99	150	28	291	95
874	123	44	29	102	61	292	38
875	124	110	123	99	53	293	69
876	125	1	1	1	3	1	3
877	126	8	5	7	6	2	1
878	127	112	124	152	90	295	96
879	128	1	11	3	3	1	7
880	129	116	129	48	41	298	98
881	130	119	135	17	18	1	3
882	131	33	77	160	97	303	50
